iter	Passed	Remaining
0	2	231
1	4	202
2	5	191
3	7	177
4	9	174
5	11	173
6	12	171
7	14	168
8	16	166
9	18	164
10	20	162
11	22	161
12	23	159
13	26	159
14	28	160
15	29	157
16	31	154
17	33	152
18	35	149
19	36	147
20	38	145
21	40	143
22	42	141
23	44	139
24	45	137
25	47	135
26	49	133
27	50	131
28	52	128
29	54	127
30	56	126
31	58	124
32	60	122
33	61	120
34	63	118
35	65	116
36	67	114
37	69	113
38	71	111
39	72	109
40	74	107
41	75	103
42	76	102
43	78	100
44	80	98
45	82	96
46	84	95
47	86	93
48	87	91
49	89	89
50	91	87
51	93	85
52	94	84
53	96	82
54	98	80
55	100	78
56	101	76
57	103	75
58	105	73
59	106	71
60	108	69
61	110	67
62	111	65
63	113	63
64	114	61
65	116	59
66	117	57
67	118	55
68	119	53
69	121	51
70	122	49
71	123	48
72	125	46
73	126	44
74	127	42
75	128	40
76	129	38
77	130	36
78	131	35
79	132	33
80	133	31
81	134	29
82	135	27
83	136	25
84	137	24
85	137	22
86	138	20
87	139	19
88	140	17
89	141	15
90	141	14
91	142	12
92	143	10
93	143	9
94	144	7
95	145	6
96	146	4
97	146	2
98	147	1
99	148	0
