iter	Passed	Remaining
0	3	3426
1	5	2576
2	6	2294
3	8	2199
4	10	2122
5	13	2271
6	16	2378
7	18	2335
8	20	2259
9	22	2192
10	23	2146
11	25	2104
12	28	2165
13	30	2156
14	33	2172
15	35	2164
16	37	2151
17	39	2137
18	41	2148
19	48	2359
20	50	2338
21	52	2350
22	54	2319
23	62	2550
24	65	2547
25	66	2488
26	67	2432
27	68	2381
28	69	2335
29	70	2293
30	72	2254
31	75	2277
32	76	2245
33	77	2215
34	78	2175
35	79	2135
36	80	2098
37	81	2063
38	82	2029
39	83	1996
40	84	1966
41	84	1934
42	85	1910
43	86	1887
44	88	1881
45	90	1871
46	92	1876
47	93	1859
48	94	1841
49	95	1823
50	97	1812
51	98	1793
52	99	1777
53	100	1759
54	101	1744
55	104	1760
56	105	1751
57	107	1744
58	108	1736
59	110	1725
60	111	1709
61	112	1694
62	113	1684
63	114	1680
64	116	1676
65	117	1669
66	119	1661
67	121	1663
68	122	1657
69	123	1647
70	124	1634
71	125	1621
72	126	1607
73	127	1595
74	128	1582
75	135	1646
76	138	1654
77	139	1650
78	141	1649
79	142	1637
80	143	1625
81	144	1613
82	144	1596
83	145	1584
84	146	1572
85	147	1567
86	148	1560
87	149	1552
88	150	1545
89	151	1536
90	152	1525
91	153	1517
92	156	1525
93	157	1522
94	159	1516
95	170	1602
96	171	1598
97	172	1590
98	173	1582
99	174	1571
100	175	1562
101	176	1552
102	177	1547
103	178	1541
104	180	1541
105	182	1537
106	183	1528
107	184	1519
108	184	1511
109	185	1502
110	186	1495
111	187	1487
112	188	1478
113	189	1469
114	189	1459
115	190	1450
116	191	1445
117	192	1441
118	194	1438
119	195	1431
120	196	1426
121	196	1417
122	197	1409
123	198	1401
124	199	1393
125	199	1385
126	200	1376
127	200	1368
128	201	1361
129	202	1353
130	202	1346
131	203	1338
132	204	1331
133	204	1324
134	206	1322
135	207	1318
136	208	1314
137	209	1309
138	210	1303
139	211	1297
140	211	1290
141	212	1283
142	213	1276
143	213	1270
144	214	1264
145	215	1257
146	215	1251
147	216	1245
148	217	1241
149	218	1235
150	218	1229
151	219	1225
152	220	1223
153	222	1219
154	222	1215
155	224	1214
156	225	1209
157	225	1203
158	226	1198
159	227	1193
160	227	1186
161	228	1181
162	229	1176
163	229	1170
164	230	1166
165	231	1160
166	231	1155
167	232	1150
168	233	1148
169	235	1149
170	236	1147
171	238	1146
172	238	1141
173	239	1137
174	240	1132
175	240	1127
176	241	1122
177	242	1118
178	242	1114
179	243	1109
180	244	1105
181	244	1100
182	245	1096
183	246	1092
184	247	1088
185	247	1084
186	248	1080
187	249	1078
188	250	1076
189	251	1074
190	252	1070
191	253	1066
192	254	1062
193	254	1059
194	255	1055
195	256	1051
196	257	1048
197	257	1044
198	258	1041
199	259	1037
200	260	1033
201	260	1030
202	261	1026
203	262	1022
204	262	1019
205	264	1017
206	265	1015
207	266	1013
208	267	1011
209	267	1007
210	268	1004
211	269	1000
212	269	997
213	270	993
214	271	990
215	272	987
216	272	984
217	273	980
218	274	977
219	274	974
220	275	970
221	276	967
222	276	964
223	277	960
224	278	958
225	279	957
226	280	955
227	281	953
228	282	950
229	283	947
230	283	944
231	284	941
232	285	938
233	286	936
234	286	933
235	287	930
236	288	928
237	289	926
238	290	925
239	291	924
240	296	932
241	299	938
242	300	936
243	301	933
244	301	930
245	302	927
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	909
252	307	907
253	308	905
254	309	904
255	311	903
256	312	902
257	312	899
258	313	896
259	314	894
260	314	891
261	315	889
262	316	886
263	316	883
264	317	880
265	318	878
266	318	875
267	319	872
268	320	870
269	320	867
270	321	865
271	322	862
272	323	862
273	324	860
274	325	858
275	326	856
276	327	854
277	328	852
278	329	850
279	329	848
280	330	845
281	331	843
282	331	840
283	332	838
284	333	835
285	333	833
286	334	830
287	335	828
288	336	826
289	336	824
290	339	827
291	341	827
292	342	826
293	343	824
294	344	822
295	344	820
296	345	817
297	350	825
298	351	824
299	353	824
300	355	825
301	357	825
302	358	824
303	359	824
304	361	823
305	362	821
306	363	819
307	364	818
308	364	816
309	365	814
310	367	813
311	368	812
312	370	812
313	371	812
314	372	810
315	373	808
316	374	806
317	374	803
318	375	801
319	376	799
320	376	797
321	377	795
322	378	792
323	378	790
324	379	788
325	380	786
326	382	786
327	383	786
328	384	785
329	387	786
330	388	785
331	389	783
332	390	781
333	391	780
334	392	778
335	393	777
336	394	775
337	400	783
338	401	783
339	402	782
340	403	780
341	404	778
342	405	776
343	406	774
344	407	772
345	407	770
346	409	769
347	410	768
348	412	770
349	415	770
350	416	770
351	417	769
352	418	767
353	419	766
354	420	764
355	422	764
356	423	762
357	424	760
358	426	760
359	427	760
360	429	760
361	430	759
362	431	758
363	432	756
364	433	754
365	434	752
366	435	750
367	435	748
368	436	746
369	436	744
370	437	741
371	438	739
372	438	737
373	439	736
374	441	735
375	442	734
376	443	733
377	444	731
378	445	729
379	446	727
380	446	725
381	447	724
382	448	722
383	448	720
384	449	718
385	450	716
386	450	714
387	451	712
388	452	710
389	453	709
390	454	707
391	455	706
392	456	705
393	457	703
394	458	702
395	459	700
396	460	699
397	460	697
398	461	695
399	462	693
400	463	691
401	463	689
402	464	688
403	465	686
404	465	684
405	466	682
406	467	680
407	467	678
408	468	677
409	470	676
410	470	674
411	472	673
412	473	672
413	473	670
414	474	669
415	475	667
416	476	665
417	476	663
418	477	661
419	478	660
420	478	658
421	479	656
422	480	655
423	481	653
424	481	651
425	482	649
426	483	648
427	484	647
428	485	646
429	486	644
430	487	643
431	488	641
432	488	639
433	489	638
434	490	636
435	490	634
436	491	633
437	492	631
438	492	629
439	493	627
440	493	626
441	494	624
442	495	622
443	496	621
444	496	619
445	497	617
446	498	616
447	499	615
448	500	614
449	501	613
450	502	611
451	502	609
452	503	608
453	504	606
454	505	604
455	505	603
456	506	601
457	507	600
458	507	598
459	508	596
460	509	595
461	509	593
462	510	592
463	511	590
464	512	589
465	512	587
466	514	586
467	515	585
468	516	584
469	516	582
470	517	581
471	518	579
472	519	578
473	519	576
474	520	575
475	520	573
476	521	571
477	522	570
478	523	568
479	523	567
480	524	565
481	525	564
482	525	562
483	526	561
484	527	559
485	528	558
486	529	557
487	530	556
488	531	555
489	531	553
490	532	552
491	533	550
492	533	549
493	534	547
494	535	546
495	535	544
496	536	543
497	537	541
498	538	540
499	538	538
500	539	537
501	540	535
502	540	534
503	541	532
504	542	531
505	543	530
506	544	529
507	545	528
508	546	527
509	547	525
510	547	524
511	548	522
512	549	521
513	549	520
514	550	518
515	551	517
516	552	515
517	552	514
518	553	513
519	554	511
520	554	510
521	555	508
522	556	507
523	556	505
524	558	505
525	559	503
526	560	502
527	561	501
528	561	500
529	562	498
530	563	497
531	563	495
532	564	494
533	565	493
534	566	492
535	566	490
536	567	489
537	568	488
538	569	486
539	569	485
540	570	483
541	570	482
542	571	481
543	572	480
544	574	479
545	575	478
546	576	477
547	576	475
548	577	474
549	578	473
550	578	471
551	579	470
552	580	469
553	581	467
554	581	466
555	582	465
556	583	463
557	583	462
558	584	461
559	585	459
560	585	458
561	586	457
562	588	456
563	589	455
564	590	454
565	591	453
566	591	451
567	592	450
568	593	449
569	593	448
570	594	446
571	595	445
572	596	444
573	596	442
574	597	441
575	598	440
576	598	438
577	599	437
